English Word,Translation,Part-of-Speech
Melanesia,Melanesia {f},{prop} (part of Oceania)
melanin,melanina {f},{n} (dark pigment)
melanoma,melanoma {m},{n} (type of skin tumor)
Melba toast,tostada Melba {f},{n} (toast)
Melbourne,Melbourne {m},{prop} /ˈmɛl.bɚn/ (city in Australia)
Melchizedek,"Melquisedec, Melchîsedec",{prop} (king and priest)
melissopalynology,melisopalinología {f},{n} (study of honey)
mellifluous,melifluo; melifluo,"{adj} /məˈlɪfluəs/ (flowing like honey); {adj} (sweet and smooth (tone, voice...))"
mellow,"mantecoso, relajado",{adj} /ˈmɛloʊ/ (Soft or tender by reason of ripeness; having a tender pulp)
melodic,melódico,"{adj} /mɨˈlɑɾɪk]/ (of, relating to, or having melody)"
melodious,melodioso,{adj} (having a pleasant melody)
melodrama,melodrama {f},{n} (romantic drama)
melodramatic,melodramático,{adj} /ˈmɛl.ə.dɹəˌmæt.ɪk/ (of or pertaining to melodrama)
melody,melodía {f},{n} /ˈmɛlədi/ (sequence of notes that makes up a musical phrase)
melon,melón {m},{n} /ˈmɛlən/ (fruit)
melon baller,sacabolas {m},{n} (tool)
melongene,,{n} (eggplant)
melt,"derretir, derretirse",{v} (to change from a solid to a liquid)
meltdown,"fusión de núcleo {f}; escándalo {m}, dilemma {m}, explosión {f}",{n} (severe overheating of the core of a nuclear reactor); {n} (situation being likened to a nuclear meltdown)
melting,"derrito {m}, fundición {f}",{n} /ˈmɛltɪŋ/ (process of changing the state of a substance)
melting pot,crisol,{n} (place where many divergent things come together and are homogenized)
member,"; ; miembro {m}, miembro",{n} (in logic); {n} (in set theory); {n} (one who officially belongs to a group)
Member of Parliament,parlamentario,{n} (representative)
member of parliament’s legislative motion,,{n} (private member's bill)
member's bill,,{n} (private member's bill)
member state,estado miembro {m},{n} (state that is a member of a confederation)
membrane,membrana {f},{n} (separating tissue)
membranous,membranoso,"{adj} (having the qualities of, or pertaining to, a membrane)"
meme,meme {m},{n} /miːm/ (unit of cultural information)
memoir,memoria,{n} /ˈmɛmˌwɑr/ (book describing the personal experiences of an author)
memorable,memorable,{adj} (worthy to be remembered)
memorably,memorablemente,{adv} (in a memorable manner)
memorandum,memorándum {m}; memorándum {m}; memorándum {m},{n} (brief diplomatic communication); {n} (short note serving as a reminder); {n} (written business communication)
memorandum of understanding,memorándum de entendimiento {m},{n} (document that outlines the legal premises of parties)
Memorial Day,Día de los caídos {m},{prop} (a United States federal holiday)
memorization,memorización {f},{n} (act of committing something to memory)
memorize,"aprender de memoria, memorizar",{v} /ˈmɛm.əɹˌaɪ̯z/ (learn by heart)
memory,"memoria {f}; memoria {f}; memoria {f}, recuerdo {m}",{n} /ˈmɛməɹi/ (ability to recall); {n} (RAM or ROM); {n} (stored record)
Memphis,Menfis,{prop} (city of ancient Egypt)
menacing,"amenazante {m} {f}, intimidante {m} {f}; amenazante {m} {f}, intimidante {m} {f}",{v} (Suggesting imminent harm); {v} (Threatening)
menagerie,casa de fieras,{n} /mɪˈnædʒərɪ/ (collection of live wild animals on exhibition; the enclosure where they are kept)
menarche,menarquia {f},{n} /mɛˈnɑːki/ (first menstruation)
mend,remendar,{v} (to repair)
mendacious,"falso {m}; mentiroso, embustero {m}","{adj} (false or untrue); {adj} (lying, untruthful or dishonest)"
mendaciousness,,{n} (mendacity)
mendacity,mentira {f}; mendacidad {f},"{n} (A lie, deceit or falsehood); {n} /mɛnˈdæsəti/ (The fact or condition of being untruthful; dishonest)"
mendelevium,mendelevio {m},{n} (chemical element)
mendicant,mendicante; mendicante; mendigo {m},{adj} /ˈmɛn.dɪ.kənt/ (depending on alms); {adj} (or or pertaining to a member of a religious order who begs); {n} (beggar)
mend one's ways,enmendarse,{v} (attempting to remedy one's failings)
menhir,menhir {m},{n} /ˈmɛnhɪə/ (standing stone as a monument)
menial,criado {m},{n} /ˈmiːniəl/ (domestic servant)
meningitis,meningitis {f},{n} (inflammation of the meninges)
meniscus,menisco {m},{n} /mɛˈnɪs.kəs/ (the curved surface of liquids)
Mennonite,Menonita,{n} (a group of denominations)
Menologium,"Menología {f}, menología",{n}
menopause,menopausia {f},{n} (The ending of menstruation)
menorah,"menora, menorá",{n} /mɪˈnɔːɹə/ (seven-branch candelabrum)
menorrhagia,metrorragia {f},{n} (excessive menstruation)
Mensa,Mensa,{prop} /ˈmɛnsə/ (constellation)
menstrual cup,copa menstrual {f},{n} (A receptacle worn inside the vagina during menstruation to collect menstrual fluid)
menstruate,menstruar,{v} (to undergo menstruation)
menstruation,"menstruación {f}, regla {f}",{n} (periodic discharging of the menses)
mental,mental,{adj} (relating to the mind)
mental breakdown,,{n} (an attack of depression)
mental disorder,enfermedad mental {f},{n}
mental hospital,hospital psiquiátrico {m},{n} (facility designed to treat persons with mental disorders)
mental illness,locura {f}; enfermedad mental {f},{n} (a mental disorder (countable)); {n} (property (uncountable))
mentality,mentalidad {f},{n} (mindset)
mentally,mentalmente,{adv} (In a mental manner)
menthol,mentol {m},{n} (cyclic monoterpene alcohol)
mention,mención {f}; mencionar,"{n} /ˈmɛn(t)ʃən/ (a speaking or notice of anything, usually in a brief or cursory manner); {v} (make a short reference something)"
mentor,mentor {m} {f},{n} (A wise and trusted counselor or teacher)
mentorship,mentoría {f},{n} (state of being a mentor)
menu,"menú {m}; menú {m}, carta {f}; menú {m}, carta {f}",{n} (list from which the user may select an operation to be performed); {n} /ˈmɛnjuː/ (details of the food to be served at a banquet); {n} (printed list of dishes offered in a restaurant)
meow,"miau, ñau, maullido {m}, ñew {m}; miau {m}, maullido {m}; maullar","{interj} /miˈaʊ̯/ (cry of a cat); {n} (cry of a cat); {v} (of a cat, to make its cry)"
Mephistopheles,Mefistófeles {m},{prop} (Devil to whom Faust sold his soul)
mercantile,mercantil,{adj} (related to the exchange of goods for profit)
mercenary,mercenario {m},{adj} /ˈmɜːrsəˌnɛri/ (motivated by private gain)
mercerize,mercerizar,{v} (to treat cotton with NaOH)
merchandise,mercancía {f},{n} /ˈmɝtʃənˌdaɪs/ (commodities offered for sale)
merchant,"comerciante {m}, mercader {f}",{n} /ˈmɜː(ɹ)tʃənt/ (person who traffics in commodities)
merchantable,comerciable {m} {f},{adj} (fit for market)
merchant navy,marina mercante {f},{n} (civilian naval fleet)
merciful,"misericordioso {m}, misericordiosa {f}",{adj} (showing mercy)
merciless,despiadado,{adj} /ˈmɝsɪlɛs/ (showing no mercy; cruel and pitiless)
mercilessly,despiadadamente,{adv} (in a merciless manner)
mercury,mercurio {m},{n} /ˈməː.kjʊ.ɹi/ (element)
Mercury,Mercurio {m}; Mercurio {m},{prop} (planet); {prop} (Roman god)
mercy,misericordia {f}; piedad {f},{n}; {n} /ˈmɝsi/ (forgiveness or compassion)
mere,mero,{adj} /mɪɚ/ (the smallest amount)
merely,"meramente, sólo, solamente, uno y nada más","{adv} /ˈmɪɹli/ (only, just, and nothing more)"
mereology,mereología {f},{n} /ˌmiːrɪˈɒlədʒi/ (logic: theory dealing with parts and wholes)
meretricious,meretricio,"{adj} /ˌmɛrɪˈtrɪʃəs/ (of, or relating to prostitutes)"
merganser,"serreta {f} [Mergus], serreta grande {f} [Mergus merganser]",{n} (diving duck)
merge,convergir,{v} /mɜː(r)dʒ/ (be combined into a whole)
merger,"fusión {f}; fusión {f}, unión {f}",{n}; {n} /ˈmɚdʒɝ/ (the act or process of merging)
mergirl,,{n} (mermaid)
mericarp,mericarpo {m},{n} (an individual carpel of a schizocarp)
meridian,meridiano {m},{n} (imaginary great circle on the Earth's surface)
meringue,merengue,{n} (shell)
merit,mérito {m},{n} /ˈmɛ.ɹɪt/ (Something worthy of a high rating)
meritocracy,meritocracia,{n} /mɛɻəˈtɑkɻəsi/ (rule by merit)
Merkel,Merkel,{prop} (surname)
merkin,peluca púbica {f},{n} /ˈmɜːkɪn/ (pubic wig)
merlin,esmerejón {m},{n} (small falcon)
Merlin,Merlín,{prop} (Wizard in Arthurian legend)
merlon,merlón {m},{n} (any of the projections between the embrasures of a battlement)
mermaid,sirena {f},{n} /ˈmɝ.meɪd/ (mythological woman with a fish's tail)
merman,tritón {m},{n}
merogamy,,{n} /mɪˈɹɒɡəmi/ (merogony)
meronym,merónimo {m},{n} (word denoting part of whole)
meronymy,meronimia {f},{n} (system of meronyms)
merriment,"juguetoneo; alegría, júbilo, regocijo",{n} (playful fun); {n} (state of enjoyable exuberance)
merry,alegre,{adj} (Jolly and full of high-spirits)
Merry Christmas,feliz Navidad,{phrase} (good wishes at Christmas time)
Merry Christmas and a Happy New Year,Feliz Navidad y próspero Año Nuevo,{phrase} (traditional greeting for the Christmas and the new year)
mesa,mesa,{n} /ˈmeɪ.sə/
mesentery,mesenterio,{n}
mesh,; malla {f},{n} (computing: polygon mesh); {n} /mɛʃ/ (opening)
mesocarp,mesocarpio {m},{n} (middle layer)
Mesolithic,Mesolítico {m},{n} (Mesolithic period)
mesology,mesología {f},{n}
mesopause,mesopausa {f},{n} (the boundary between the mesosphere and the ionosphere)
Mesopotamia,Mesopotamia,{prop} (region between Euphrates and Tigris)
mesosphere,mesosfera {f},{n} (layer of the Earth's atmosphere)
mesquite,mezquite {m},{n} /mɛsˈkiːt/ (tree)
message,"mensaje {m}, recado {m}",{n} (a concept conveyed)
messenger,mensajero {m},{n} /ˈmɛ.sɪn.dʒəɹ]/ (one who brings messages)
messenger RNA,ARN mensajero {m},{n} (information carrying RNA)
mess hall,"comedor militar {m}, cantina {f}, comedor {m}",{n} (military dining room)
messiah,Mesías {m},{n} /məˈsaɪ.ə/ (ordained to lead the people of Israel)
Messiah,Mesías {m},{prop}
messmate,comensal {m} {f},{n} (an associate with whom one shares a mess)
messuage,"parcela; posteriormente, mansión","{n} /ˈmɛswɪd͡ʒ/ ((legal) A plot of land as the site for a house; later, a residential building taken together with its outbuildings and assigned land)"
messy,desordenado,{adj} (in a disorderly state; causing mess or confusion; chaotic; disorderly)
metabasis,metábasis {f},{n} (A change of subject)
metabolic,metabólico,{adj} (of or pertaining to metabolism)
metabolism,metabolismo {m},{n} (complete set of chemical reactions that occur in living cells)
metacarpal,metacarpiano; metacarpiano {m},{adj} (of the metacarpus); {n} (bone of the metacarpus)
metacarpal bone,,{n} (metacarpal)
metacarpus,metacarpo {m},{n} (five bones)
metadata,metadatos {m} {p},{n} /ˈmɛt.əˌdeɪ.tə/ (data that describes data)
metafiction,metaficción {f},{n} (form of self-referential literature)
metal,metal {m},{n} /ˈmɛtəl/ (atomic element)
metal detector,detector de metal {m}; detector de metal {m},"{n} (a hand-held device); {n} (a structure, similar to a doorway)"
metallic,metálico; metálico,{adj} (made of metal); {adj} /məˈtæl.ɪk/ (related to metal)
metallic bond,enlace metálico {m},{n} (chemical bond)
metalloid,"semimetal {m}, metaloide {m}",{n} (element)
metallurgic,,{adj} (metallurgical)
metallurgical,"metalúrgico {m}, metalúrgica {f}",{adj} (or or relating to metallurgy)
metallurgically,metalúrgicamente,{adv} (in a metallurgical manner)
metallurgist,"metalúrgico {m} {f}, metalurgista {m}",{n} (person skilled in metallurgy)
metallurgy,metalurgia {f},{n} /meˈtælədʒi/ (science of metals)
metamorphic rock,roca metamórfica {f},{n} (one of the major groups of rock that makes up the crust of the Earth)
metamorphosis,metamorfosis {f}; metamorfosis {f},{n} (in biology); {n} (transformation)
metaphor,metáforo {m}; metáforo {m},{n} (countable: word or phrase used in metaphor); {n} /ˈme.tə.fɚ/ (uncountable: figure of speech)
metaphorical,"metafórico {m}, metafórica {f}",{adj} /ˌmɛtəˈfɔːɹɪkəl/ (pertaining to a metaphor)
metaphorically,metafóricamente,{adv} (in a metaphoric manner)
metaphorize,metaforizar,{v} (describe something using metaphors)
metaphysical,metafísico {m},{adj} /ˌmɛtəˈfɪzɪkəl/ (of or pertaining to metaphysics)
metaphysics,metafísica {f},{n} /mɛtəˈfɪzɪks/ (branch of philosophy that studies first principles)
metastasis,metástasis,{n} /mɪˈtæstəsɪs/ (the transference of a bodily function or disease to another part of the body)
metastasize,metastatizar,{v} /mɪˈtæstəsʌɪz/ (to spread to other sites in the body)
metatarsus,metatarso {m},{n} (bones)
metempsychosis,metempsicosis {f},{n} /mɛtəmsʌɪˈkəʊsɪs/ (Transmigration of the soul)
meteor,meteoro {m},{n} (streak of light)
meteorite,meteorito {m},{n} (remains of a meteor)
meteoroid,meteoroide {m},{n} (small debris in a solar system)
meteorologic,,{adj} (meteorological)
meteorological,meteorológico,{adj} (meteorologic)
meteorologist,meteorólogo {m},{n} (person who studies meteorology)
meteorology,meteorología {f},{n} /ˌmiːtɪəˈrɒlədʒi/ (science)
meteor shower,"lluvia de meteoros {f}, lluvia de estrellas {f}",{n} (Meteors seen on Earth for short time period)
meter,"medidor {m}, contador {m}, metro {m}; metro {m}; ",{n} /ˈmitəɹ/ (measuring instrument); {n} (unit of length); {v} (to measure)
methamine,,{n} (hexamine)
methamphetamine,metanfetamina,{n} (the drug (S)-N-methyl-1-phenylpropan-2-amine)
methanal,,{n} (formaldehyde)
methane,metano {m},{n} /ˈmɛθeɪn/ (the compound CH₄)
methanol,metanol {m},"{n} (the simplest aliphatic alcohol, CH₃OH)"
methinks,me parece,{contraction} /miːˈθɪŋks/ (it seems to me)
methionine,metionina {f},{n} /mɪˈθʌɪəniːn/ (amino acid)
method,método {m}; method,{n} / / (process by which a task is completed); {n} (type of acting)
methodical,metódico,{adj} (in an organized manner)
Methodism,metodismo {m},{n} (Methodist Christian movement founded by John Wesley)
Methodist,metodista {m} {f}; metodista {m} {f},{adj} (of or relating to Methodism); {n} (a member of the Methodist Church)
Methuselah,Mathusalam,{prop} (Biblical character)
methylation,metilación,{n} /ˌmɛθəˈleɪʃən/ (addition of a methyl group)
methylene,metileno {m}; metileno {m}; metileno {m},{n} (divalent radical); {n} (group present as a repeating unit); {n} (unstable carbene CH₂)
metic,metic,{n} (resident alien in ancient Greece)
meticulous,"meticuloso, minucioso","{adj} /mɨˈtɪkjɨlɨs/ (characterized by very precise, conscientious attention to details)"
meticulously,"meticulosamente, a conciencia, minuciosamente",{adv} (meticulously)
metonymic,metonímico; ,"{adj} /ˌmɛt.əˈnɪm.ɪk/ (Of, or relating to, a word that names an object from a single characteristic of it or of a closely related object); {n} (metonym)"
metonymy,metonimia {f}; ,{n} (figure of speech); {n} (metonym)
me too,yo también,{phrase} (I agree)
metre,metro {m},{n} /ˈmiːtə(r)/ (unit of length)
metric,métrico; métrica {f},{adj} /ˈmɛt.ɹɪk/ (relating to metric system); {n} (notion in mathematics)
metric space,espacio métrico {m},{n} (space (mathematics))
metric system,,{n} (International System of Units)
metro,metro {m}; metro {m},{n} /ˈmɛtɹəʊ/ (underground railway); {n} (train of underground railway)
metronome,metrónomo {m},{n} (a device used in music)
metropole,,{n} /ˈmɛtɹəpoʊl/ (city)
metropolis,,{n} /mɪˈtɹɒpəlɪs/ (metropolitan archbishop)
metropolitan,metropolitano,{adj} /mɛtɹəˈpɒlɪtən/ (pertaining to a metropolis)
metrosexual,metrosexual,{n} (A man concerned with personal appearance)
mettle,"; temple {m}, ánimo {m}, templanza {f}",{n} /ˈmɛt.l̩/ (metal); {n}
Meuse,Mosa {f},{prop} (river)
mew,; ,{n} /mju/ (crying sound of a cat); {v} (meow)
Mexican,"mexicano, mejicano; ; ; ; mexicano, mejicano {m}; ; mexicano, mejicano {m}, mexicana, mejicana {f}; charro {m}",{adj} (of or pertaining to Mexico); {adj} (of or pertaining to Nahuatl language); {adj} (of or pertaining to the Mexica people); {n} /ˈmɛks.ɪ.kən/ (Mexica); {n} (Mexican dialect of Spanish); {n} (Nahuatl language); {n} (person from Mexico or of Mexican descent)
Mexican hand tree,"árbol de las manitas {m}, árbol de la manita {m}, manita {f}",{n}
Mexicanism,mexicanismo {m},{n}
Mexican marigold,"cempasúchil {m}, flor de cempasúchil {f}, flor de muertos {f}",{n}
Mexican wave,la ola {f}; hacer la ola,{n} (A phenomenon at sports events); {v} (to perform a Mexican wave)
Mexican wolf,lobo mexicano,{n} (rare subspecies of grey wolf)
Mexico,"México {m}, Ciudad de México {f}; México {m}, Méjico {m}, Estados Unidos Mexicanos, República Mexicana",{prop} (city); {prop} /ˈmɛk.sɪ.koʊ/ (country)
Mexico City,"México, Ciudad de México",{prop} (capital of Mexico)
Mexico State,Estado de México {m},{prop} (state of Mexico)
mezuzah,mezuzá,{n} /məˈzuːzə/ (piece of parchment attached to the doorpost of a house)
mezzanine,"entresuelo {m}, entrepiso {m}",{n} /ˈmɛzəˌniːn/ (mezzanine)
mica,mica {f},{n} /ˈmaɪkə/ (hydrous aluminosilicate minerals)
Micah,Miqueas,{prop} /ˈmʌɪkə/ (biblical character)
micelle,micela {f},{n} /maɪˈsɛl/ (colloidal aggregate)
Michael,"Miguel; Miguel, Máicol",{prop} (archangel); {prop} /ˈmaɪkəl/ (male given name)
Michaela,Micaela,{prop} (feminine form of Michael)
Michelangelo,Miguel Ángel,{prop} (Italian artist)
Michelle,,{prop} (female given name)
Michigan,Míchigan {m},{prop} /ˈmɪ.ʃə.ɡən/ (US state)
Michoacán,Michoacán {f},{prop} (state of Mexico)
Mickey Mouse,"Mickey Mouse, Ratón Mickey, Ratón Miguelito",{prop} (Disney character)
microbe,microbio,{n} (microorganism)
microbial,microbiano,{adj} /maɪˈkɹoʊb.i.‌əl/ (relating to microbes)
microbicidal,microbicida,"{adj} (of, pertaining to, or functioning as a microbicide)"
microbicide,microbicida {f},{n} (substance that is harmful to microorganisms)
microbiological,microbiológico,{adj} (pertaining to microbiology)
microbiologist,"microbiólogo {m}, microbióloga {f}",{n} (scientist whose specialty is microbiology)
microbiology,microbiología {f},{n} (branch of biology dealing with microorganisms)
microcephaly,microcefalia {f},{n} (neurological disorder)
microclimate,"microclima {f}, es {f}",{n} (local climate region)
microcosm,microcosmos; microcosmos {m}; microcosmos,{n} (A small natural ecosystem; an artificial ecosystem set up as an experimental model); {n} /ˈmaɪ.kɹoʊˌkɑzəm/ (human nature or body as representative of the wider universe); {n} (smaller system as representative of a larger one)
microcredit,,{n} (microloan)
microeconomics,microeconomía {f},{n} (study of small-scale economic activities)
microfilm,microfilme {m}; microfilmar,{n} (roll of film); {v} (reproduce documents on microfilm)
microgravity,microgravedad {f},{n} (very low gravity)
micrometer,micrómetro {m}; micrómetro {m},{n} (instrument); {n} (one-millionth of a meter)
micrometre,,{n} (micrometer)
Micronesia,Micronesia,{prop} /ˌmaɪ.kɹoʊˈniː.ʒə/ (country)
Micronesian,micronesio; micronesio {m},"{adj} (Of, from, or pertaining to Micronesia or the Micronesian people); {n} (A person from Micronesia or of Micronesian descent)"
microorganism,microorganismo {m},{n} /ˌmaɪ.kɹoʊˈɔːɹ.ɡən.ɪ.zəm̩/ (an organism too small to be seen by unaided eye)
micropaleontology,micropaleontología {f},{n} (the study of microfossils)
microphone,micrófono {m},{n} (transducer of sound waves to electricity)
microprocessor,microprocesador {m},{n} (the entire CPU of a computer)
microscope,microscopio {m},{n} (an optical instrument)
microscopic,microscópico; microscópico; microscópico,{adj} /ˌmaɪkrəˈskɑpɪk/ (relating to microscopes); {adj} (so small that it can only be seen using a microscope); {adj} (very small)
Microscopium,Microscopium,{prop} (faint constellation of the southern spring sky)
microscopy,"microscopia {f}, microscopía {f}; microscopia {f}, microscopía {f}",{n} /maɪ.ˈkɹɔ.skə.pi/ (study of microscopes); {n} (use of microscopes)
microseism,microsismo {m},{n} (tremor)
microskirt,microfalda {f},{n} (extremely short skirt)
microsome,microsoma {m},{n} /ˈmaɪk.rə.soʊm/ (vesicle)
microwave,microonda {f}; ,{n} /ˈmaɪkrəˌweɪv/ (wave); {n} (microwave oven)
microwave oven,horno de microondas {m},{n} /ˈmaɪkrə(ʊ)ˌweɪv ˈʌv(ə)n/ (oven using microwave energy)
micturate,,{v} (urinate)
Midas,Midas,{prop} /ˈmaɪ.dəs/ (Greek mythology)
midbrain,mesencéfalo,{n} (part of brain)
midday,,{n} (12 o'clock during the day)
midden,basural {m},{n} (refuse heap)
middle,"medio; medio {m}, centro {m}; medio {m}","{adj} (being in the middle or in-between); {n} /ˈmɪdəl/ (centre, midpoint); {n}"
middle age,mediana edad {f},{n} (the period of life between youth and old age)
Middle Ages,Edad Media {f},{prop} /ˌmɪd.l̩ ˈeɪ.dʒɪz/ (period of time)
middle class,clase media {f},{n} (a social and economic class lying above the working class and below the upper class)
Middle East,"Oriente Medio, Medio Oriente {m}",{prop} (region comprising southwest Asia and northeast Africa)
Middle English,inglés medio {m},{prop} (Middle English)
middle finger,"dedo de en medio {m}, dedo del corazón {m}",{n} (finger between the forefinger and the ring finger)
Middle Kingdom,Imperio Medio {m},{n} (Egypt in the 12th and 13th dynasties)
middleman,"intermediario {m}, coyote {m} [Mexico]; intermediario {m}, intermediaria {f}","{n}; {n} (intermediary, agent between parties)"
middle of nowhere,"quinto pino {m}, medio de la nada {m}","{n} (Nowhere; Any place lacking population, interesting things or defining characteristics)"
middle school,"escuela media, secundaria {m}",{n} (school contain both primary and secondary students)
middlewoman,intermediaria {f},{n} (The female equivalent of a middleman; a female intermediary)
midget,enano {m}; enano {m},"{n}; {n} (person of small stature of adult height less than 4'10"")"
midmost,,{adj} (middlemost)
midnight,medianoche {f},{n} /ˈmɪdˌnaɪt/ (12 o'clock at night)
midpoint,mitad; punto medio {m},{n} (point equidistant between two extremes); {n} (point which divides a line segment)
midshipman,; guardiamarina,{n} (midshipman fish); {n} (officer of the lowest rank)
midst,centro,{n} (place in the middle of something)
midsummer,día de San Juan {m},{n} (Midsummer Day)
midway,,{adv} (halfway)
midwife,"partera {f}, comadrona {f}, matrona {f}",{n} /ˈmɪd.waɪf/ (person who assists women in childbirth)
might,"poder, fuerza; puede que",{n} /maɪt/; {v} (indicator of conditional or possible actions)
might makes right,la fuerza hace el derecho,{phrase} (the stronger and more powerful rule others)
mighty,poderoso,"{adj} /ˈmaɪti/ (very strong, possessing might)"
migraine,"migraña {f}, jaqueca {f}",{n} /ˈmaɪɡreɪn/ (headache usually affecting only one side of the head)
migrant,ave pasajera {f},{n} /ˈmaɪɡɹənt/ (A migratory bird or other animal)
migrant worker,,{n} (guest worker)
migration,migración {f}; migración {f},"{n} /mʌɪˈɡɹeɪʃ(ə)n/ (moving a place to live to another); {n} (seasonal moving of animals, birds or fishes)"
migratory,migratorio,"{adj} /ˈmaɪɡrəˌtɔri/ ((of birds, etc) that migrate)"
mikado,"emperador, micado",{n}
Milan,Milán {m}; Milán,{prop} (city and capital); {prop} /mɪˈlæn/ (province)
mild,"suave {m} {f}, leve",{adj} /ˈmaɪld/ (gentle; pleasant; kind; soft)
mildew,moho {m},{n} /ˈmɪl.d(j)u/ (growth of minute fungi)
mile,milla {f},{n} /maɪ̯l/ (measure of length)
milestone,"hito {m}, mojón {m}; hito {m}, mojón {m}",{n} (important event); {n} (one of a series of numbered markers placed along a road at regular intervals)
MILF,MQMF,{n} /mɪlf/ (woman)
milfoil,milenrama {f},{n} (herb)
milieu,entorno {m},{n} /mɪlˈjʊ/ (a person’s social setting or environment)
militaresque,militarizado {m},{adj} (relating to military)
militarism,militarismo {m},{n} (militarism)
militarist,militarista {m} {f},{n} (one who believes in military force)
militarize,militarizar,{v} (to train or equip for war)
military,militar; militar {m} {f}; militar {m} {f}; militar {m} {f}; ejército {m},"{adj}; {adj} /ˈmɪl.ɪ.tɛɹ.i/ (characteristic of members of the armed forces); {adj} ((North America) relating to armed forces such as the army, marines, navy and air force); {adj} (relating to war); {n} ( armed forces)"
militia,milicia {f},{n} /məˈlɪʃə/ (army of trained civilians called upon in time of need)
milk,leche {f}; ordeñar,{n} /mɪlk/ (the liquid); {v} (to express milk from mammal)
milk chocolate,chocolate con leche,{n} (Chocolate that includes milk powder as one of its ingredients)
milker,"lechera {f}, vaca lechera {f}; ordeñador {m}, ordeñadora {f}","{n} (dairy cow); {n} (person who, or a machine which, milks)"
milkfish,"sabalote, pez-de-leche",{n} (Chanos chanos)
milking,ordeño {m},{n} (the act by which a cow is milked)
milkmaid,"lechera {f}, ordeñadora {f}",{n} (a young woman who milked the cows on a farm)
milkman,lechero {m},{n} (man who delivers milk early in the morning)
milkshake,"batido {m}, licuado {m}",{n} (milk and ice cream beverage)
milk snake,"coral ratonera, culebra real coralillo",{n} (Lampropeltis triangulum)
milksop,mariquita {m},"{n} (weak, easily frightened or ineffectual person)"
milk tooth,"dentición decidua {f}, dentición de leche, dentición infantil, dentición primaria",{n} (tooth of the first set of teeth)
milky,lechoso,{adj} /ˈmɪɫki/ (resembling milk in color or consistency)
Milky Way,la Vía Láctea {f},{prop} (galaxy)
mill,fábrica {f}; molino {m}; fábrica {f}; molino {m}; moler; pulir,"{n} (building); {n} (building housing a grinding apparatus); {n} (manufacturing plant); {n} /mɪl/ (grinding apparatus); {v} (grind or process using a mill or other machine); {v} (shape, polish, etc, using a machine)"
millennium,milenio {m},{n} /mɪˈlɛnɪəm/ (thousand-year period)
miller,molinero {m},{n} (person)
Miller,Molinero,"{prop} (surname meaning ""a miller"")"
millet,mijo {m},{n} (any of a group of various types of grass or its grains used as food)
milliard,"millardo {m}, mil millones {m} {p}",{num} /ˈmɪliɑːɹd/ (10^9)
milliliter,,{n} (millilitre)
millilitre,mililitro {m},{n} (a unit of volume)
millimeter,,{n} (millimetre)
millimetre,milímetro {m},{n} (unit of measure)
millimetric,milimétrico,{adj} (size)
million,un millón {m},{cardinal num} /ˈmɪljən]/ (cardinal number)
millionaire,millonario {m},{n} (somebody whose wealth is greater than one million dollars)
millionth,millonésimo {m}; millonésimo {m},{n} /ˈmɪljənθ/ (person or thing in the millionth position); {n} (one of a million equal parts of a whole)
millipede,"milpiés {m}, congorocho {m} [Venezuela]",{n} (elongated arthropod)
millisecond,milisegundo {m},{n} (one one-thousandth of a second)
millstone,muela {f},{n} (large round stone used for grinding grain)
milt,lecha {f}; ,{n} /mɪlt/ (fish semen); {n} (the organ spleen)
Miltiades,Miltiades,{prop} (given name)
Mimas,Mimas,{prop} (moon of Saturn)
mimeograph,"mimeógrafo, ciclostilo; mimeografiar",{n} (machine for making copies); {v} (to make mimeographs)
mimosa,mimosa {f},{n} (plant belonging to the genus)
mina,,{n} (myna)
minaret,"alminar {m}, minarete {m}",{n} (mosque tower)
mince,; picadillo {m},{n} (finely chopped mixed fruit); {n} /mɪns/ (finely chopped meat)
minced,"picado, molido",{adj} (finely chopped)
mince words,ener pelos en la lengua,{v} (to use euphemisms)
mind,ánimo {m}; mente {f},{n}; {n} /maɪnd/ (ability for rational thought)
mind control,control mental {m},{n} (subverting an individual's control of his or her mind)
minder,"niñera {f}, niñero {m}; guardaespaldas {m} {f}",{n} (babysitter); {n} (bodyguard)
mind one's own business,"no meterse en lo que no le incumbe [literally], no te metas en camisas de once varas [idiomatic]",{initialism} (to concern oneself only with what is of interest to oneself and not interfere in the affairs of others)
mindset,"mentalidad {m}, actitud {f}",{n} (a way of thinking)
mine,"mina {f}; mina {f}; lo mío {m}, de mí, mío; extraer; minar",{n} (exploding device); {n} (place from which ore is extracted); {pron} /maɪn/ (that which belongs to me); {v} (remove from the ground); {v} (sow mines in)
minecart,vagoneta {f},"{n} (a wheeled container that travels on tracks, used for moving mining materials)"
miner,minero {m},{n} /maɪnə/ (a person who works in a mine)
mineral,mineral {m},{n} /ˈmɪn.ɜː(ɹ).əl/ (in geology)
mineralogical,mineralógico,{adj} (relating to mineralogy)
mineralogist,mineralogista {m} {f},{n} (expert in mineralogy)
mineralogy,mineralogía {f},{n} /ˌmɪnəˈɹɒlədʒi/ (the study or science of minerals)
mineral water,"agua mineral {f}, agua mineralizada {f}",{n} (water containing dissolved minerals)
mineworker,"minero {m}, minera {f}",{n} (mineworker)
mingle,mezclar,{v} /ˈmɪŋ.ɡəl/ (To mix; to intermix; to combine or join)
