Spanish Word,Translation,Gender,Part-of-Speech
liturgia,liturgy; ritual,f,{noun}
Liubliana,Ljubljana (Capital city of Slovenia),,{prop}
livermorio,livermorium,m,{noun}
liviano,light (not heavy),,{adj}
livone,Livonian; a person from Livonia,m,{noun}
livonio,the Livonian language,,{prop}
livor,"a bluish color; bruise; malice, malignity","m; m [archaic, literary]; m",{noun}
lixosa,lyxose,f [carbohydrates],{noun}
ll,"elle, the 14th letter of the Spanish alphabet, after l and before m",,{letter}
Ll,The 14th letter of the Spanish alphabet,,{letter}
LL,"elle, the 14th letter of the Spanish alphabet, after L and before M",,{letter}
llaga,sore; ulcer; wound,f,{noun}
llama,flame; llama (mammal),f,{noun}
llamada,call,f,{noun}
llamada a la oración,call to prayer,f [Islam],{noun}
llamado,called; call,,{adj}; {noun}
llamador,caller; door knocker; messenger,m,{noun}
llamamiento,"call, appeal",m,{noun}
llamar,to cost; to be called; to appeal; to attract; to refer to; to summon,,"{vr} [Spain, colloquial]; {vr}; {v}; {v}; {v}"
llamarada,"flushing; sudden flare-up, blaze",f,{noun}
llamarada de petate,flash in the pan,f [idiomatic],{noun}
llamarse,(reflexive form of llamar) to be called (to call oneself),,{vr}
llamativa,flamboyant,,{n}
llamativo,"(said of food) dry; inducing thirst; striking, showy",,{adj}
llameante,"flaming, blazing",,{adj}
llamear,to blaze,,{v}
llana,trowel,f,{noun}
llanamente,candidly,,{adv}
llanero,"(South America) plainsman, cowboy, llanero",m,{noun}
llaneza,frankness; plainness; simplicity,m,{noun}
llano,"even; flat; level; plain; straightforward; a plain (an open, grassy, mostly treeless land)",,{adj}; {noun}
llanta,"fat, protruding belly; tire; plant; tire rim","f [idiomatic, Mexico]; f [Latin America]; f [obsolete]; f",{noun}
llantén,plantain (plant of the genus Plantago); Ribwort Plantain (Plantago lanceolata),m,{noun}
llantén menor,ribwort (Plantago lanceolata or Plantago major),m,{noun}
llanto,crying,m,{noun}
llanura,plain,f,{noun}
llave,"curly bracket; key; spanner, wrench; valve, faucet",f,{noun}
llave de cierre,stopcock,f,{noun}
llavero,keyring,m,{noun}
llegada,arrival,f,{noun}
llegar,to arrive,,{v}
llegar a final de mes,to make ends meet,v [idiomatic],{noun}
llegar a la suela del zapato,"To not compare to, to have nothing on","v [idiomatic, usually in the negative]",{noun}
llenador,filling,,{adj}
llenar,to complete a group; to fill something up,,{v}
llenarse,to gorge oneself,,{vr}
llenito,chubby; plump; diminutive form of lleno,,{adj}
lleno,full,,{adj}
llesca,"weed, dope (marijuana)",f [slang],{noun}
lleísmo,"the practice of merging the sound of the Spanish letter ye (""y"") into the sound of the digraph elle (""ll"")",m,{noun}
llevadero,entertaining; tolerable,,{adj}
llevar,"to have spent time; to include (have as a component, part, accesory or ingredient); to lead away; to carry away (implies moving someone further from the speaker); to take, carry, take away, carry away (implies to move something further from who speaks); to wear (short form of llevar puesto)",,{vt}
llevar a cabo,"carry out, fulfill, accomplish",,{v}
llevar los pantalones,to wear the trousers,v [idiomatic],{noun}
llevarse,to wear,,{v}
llevarse el gato al agua,to pull it off (suceed),v [idiomatic],{noun}
llorar,to cry,,{v}
lloriquear,to cry a little,,{v}
lloriqueo,whimper; whining,m,{noun}
llorón,crybaby,m,{noun}
llorona,(female) crybaby,f,{noun}
lloroso,"mournful, sad; weeping",,{adj}
llovedizo,leaky,,{adj}
llover,to rain,vi [impersonal],{noun}
llover a cántaros,To pour; to rain heavily; to rain cats and dogs,v [idiomatic],{noun}
llover a mares,To pour; to rain heavily; to rain cats and dogs,v [idiomatic],{noun}
llovizna,drizzle,f,{noun}
lloviznar,to lightly rain; to drizzle,vi [impersonal],{noun}
lluvia,rain,f,{noun}
lluvia ácida,acid rain,f,{noun}
lluvia de estrellas,A meteor shower,f,{noun}
lluvia de meteoros,A meteor shower,f,{noun}
lluvioso,rainy,,{adj}
lámina,"lamina; blade; engraving; slap, sheet","f [botany, anatomy]; f [botany]; f; f",{noun}
límite,limit,m,{noun}
lámpara,"lamp; torch, flashlight",f,{noun}
lémur,lemur,m,{noun}
línea,"a thin, long dose of cacaine (slang); command, order (government and enterprises); government policy, government action (e.g. línea dura = hard or strict government policy); individual script, dialogue for each actor (theatre and TV); line (mathematics, art, electricity or telephone)",f,{noun}
línea fija,landline,,{n}
lánguido,"languid, weak",,{adj}
lúnula,lunula,f [geometry],{noun}
lío,bundle; huddle; trouble,m,{noun}
lo,"neuter definite article used to make abstract nouns from adjectives; the; impersonal neuter pronoun; it, that",,{art}; {pron}
loa,praise,f,{noun}
loable,laudable,,{adj}
loablemente,"laudably, commendably",,{adv}
loar,to praise,,{v}
loba,feminine form of lobo she-wolf; an attractive woman,f; f [slang],{noun}
lobato,"a wolf cub, a wolfling",m,{noun}
lobezno,"a wolf cub, a wolfling",m,{noun}
lobisón,werewolf,m,{noun}
lobo,wolf,m,{noun}
lobo de Tasmania,thylacine,m,{noun}
lobo marino,seadog; seal; sea lion,m,{noun}
lobuno,"lupine, wolflike, wolfish",,{adj}
loca,feminine form of loco; (slang) an effeminate man or boy; (slang) a very flirtatious homosexual man or boy,f,{noun}
locación,"rental, leasing",f,{noun}
local,"local; premises, rooms",,{adj}; {noun}
local de alterne,hostess bar,f,{noun}
localidad,"place, locality",f,{noun}
localización,"finding, location; localization",f,{noun}
localizado,located,,{adj}
localizador,localizer,m,{noun}
localizar,"to be located, localized; to find; to localize, locate",,{vr}; {vt}; {vt}
locamente,"madly, crazily",,{adv}
locera,A woman who makes or sells items made of china.,"f [colloquial, Honduras, and, Venezuelan Spanish]",{noun}
locero,One who makes or sells items made of china.,"m [colloquial, Honduras, and, Venezuelan Spanish]",{noun}
loción,lotion,f,{noun}
loco,"crazy, insane, mad (asserting that something is out of place in the head); loose (pipe fittings, pulley); overgrown, rambling; rash, risky, imprudent; sexy (only with ""ser"" ex. soy loco); tremendous, terrific, huge, enormous; A highly affected homosexual; fruit; A plant in the genus Astragalus or Oxytropis; Chilean edible gastropod mollusk resembling abalone but is, in fact, a muricid (Concholepas concholepas); A crazy person",,{adj}; {noun}; {noun}; {noun}; {noun}
locomoción,locomotion; transportation,f,{noun}
locomotora,"engine, locomotive",f,{noun}
locos y niños dicen la verdad,"Children and crazy people tell what's true, meaning they have no inhibition to express how they see things",,{phrase}
locrio,dish made from rice cooked with meat,m,{noun}
locuacidad,"loquacity, talkativeness, garrulity, flippancy",f,{noun}
locuaz,loquacious,,{adj}
locución,idiom,f,{noun}
locución adverbial,adverbial phrase,f,{noun}
locura,An act of madness; Madness,f,{noun}
locus,locus,m [genetics],{noun}
locutor,"announcer, newscaster, newsreader, commentator",m [media],{noun}
locutorio,call shop,m,{noun}
lodo,mud; muck; mire,m,{noun}
logana,loganberry,f,{noun}
loganberi,loganberry,m,{noun}
logar,place; to rent,m [archaic],{noun}; {vt} [archaic]
logaritmo,logarithm,m,{noun}
logia,lodge (Freemasons),f,{noun}
logotipo,A logo; A mascot,m,{noun}
logrado,successful,,{adj}
lograr,to achieve; to get; to obtain,,{vt}
lograrse,to be successful,,{vr}
logro,"attainment, success",m,{noun}
Logroño,Logroño,,{prop}
logística,logistics,f,{noun}
logístico,logistical,,{adj}
lola,"girl; breasts, bosom, boobies, knockers","f [colloquial, Chile]; f [colloquial, usually in plural, Mexico]",{noun}
Lolita,female given name,,{prop}
lolo,"young, teen, juvenile (person); kid, boy, girl",,"{adj} [colloquial, Chile]; {noun}"
Lolol,Lolol,,{prop}
loma,hill; suburb,f,{noun}
lombriz,A worm,f,{noun}
lombriz solitaria,tapeworm,f,{noun}
lomo,back (the rear of body); crease; loin,m,{noun}
lona,canvas; cotton duck; sail cloth; tarpaulin,f,{noun}
loncha,slap; slice,f,{noun}
lonche,tea (light meal with tea or coffee),m [Peru],{noun}
lonco,lonco,m,{noun}
londinense,Of or pertaining to London; Londoner,,{adj}; {noun}
Londres,London,,{prop}
longa,longa,f [music],{noun}
longaniza,"pork sausage; wiener, dick (penis)",f; f [slang],{noun}
longevidad,longevity,f,{noun}
longitud,length; longitude,f,{noun}
longitudinal,longitudinal,,{adj}
longitudinalmente,longitudinally,,{adv}
longko,alternative form of lonco,m,{noun}
look,"Look; style, appearance",m [informal],{noun}
Lope,male given name,,{prop}
lo primero es lo primero,first things first,,{proverb}
loquear,to act foolishly,,{v}
loquero,A psychologist or psychiatrist,"m [colloquial, deprecative]",{noun}
lord,lord (British title),m,{noun}
Lorena,female given name transferred from the place name; Lorraine ( region ),,{prop}
Lorenza,"female given name, feminine form of Lorenzo",,{prop}
Lorenzo,"male given name, equivalent to Laurence; The letter L in the Spanish phonetic alphabet",,{prop}
loriga,"bard (armor for a horse); mail, chain mail",f,{noun}
loro,"a chatterbox; parrot, parakeet",m,{noun}
loro tricahue,burrowing parrot (Cyanoliseus patagonus),m,{noun}
los,"the; Accusative form of ellos or ustedes; Plural masculine or neuter pronoun, e.g. los que no hablan, ""those who do not speak""",,{art}; {pron}; {pron}
losa,"flagstone, slab, tile",f,{noun}
lo siento,sorry,,{interj}
Los Ángeles,Los Angeles (seaport in southern California); The angels,,{prop}
Lot,Lot (Biblical character),,{prop}
lote,"batch; lot (chance assignement); lot, claim; plot (of land); batch",m [informatics]; m; m; m; m [production],{noun}
lotería,lottery,f,{noun}
lotificación,subdivision of land,f,{noun}
loto,lotus,m,{noun}
Lourdes,female given name,,{prop}
Lovaina,Leuven/Louvain (Belgian city),,{prop}
loza,"ceramic floor tile; dishes, dishware; earthenware; porcelain, china",f,{noun}
lozano,fresh or lush,,{adj}
López,Spanish surname,,{prop}
lápida,"tombstone, gravestone",f,{noun}
lípido,lipid,m [organic compound],{noun}
lápiz,pencil,m,{noun}
lápiz labial,lipstick,m,{noun}
lúpulo,hop plant,m,{noun}
líquido,liquid; liquid,,{adj}; {noun}
líquido cefalorraquídeo,cerebrospinal fluid,m,{noun}
líquido cerebroespinal,cerebrospinal fluid,m,{noun}
líricamente,lyrically,,{adv}
láser,laser,m,{noun}
lástima,a pity,f,{noun}
látex,latex,m,{noun}
látigo,whip,m,{noun}
Luanda,Luanda,,{prop}
lubina,sea bass,f,{noun}
lubricación,lubrication,f,{noun}
lubricante,lubricant,m,{noun}
lubricar,to lubricate,,{v}
lubrificación,lubrication,f,{noun}
lubrificante,lubricant,m,{noun}
lubrificar,to lubricate,,{v}
luca,thousand pesos,"f [Chile, colloquial]",{noun}
Lucía,female given name; Spanish equivalent of Lucy or Lucia,,{prop}
Lucas,Luke; male given name,,{prop} [biblical character]; {prop}
Lucerna,Lucerne (city),,{prop}
lucero,"brilliance, luster; luminary (natural light-giving body)",m,{noun}
lucífero,"bright, radiant, dazzling, luminous, giving off light; the morningstar, daystar, planet Venus",,{adj} [poetic]; {noun}
lucha,fight; struggle,f,{noun}
Lucha,"female given name, Luz María or María de la Luz",,{prop}
luchador,fighting; fighter; wrestler,,{adj}; {noun}; {noun}
luchadora,feminine form of luchador,f,{noun}
lucha en lodo,mudwrestling,f,{noun}
lucha grecorromana,Greco-Roman wrestling,f [martial arts],{noun}
lucha libre,free-style wrestling,f [martial arts],{noun}
luchar,to fight,,{v}
Lucho,Nickname for Luis,,{prop}
Luciana,"female given name, feminine form of Luciano",,{prop}
Luciano,"Lucian, the Sophist; male given name, cognate to Lucian",,{prop}
lucidez,"lucidity, lucidness",f,{noun}
Lucifer,Lucifer,,{prop}
lución,slowworm,m,{noun}
lucio,"bright, luminous; shiny; pike (any carnivorous freshwater fish of the genus Esox); slowworm",,{adj}; {noun}; {noun}
lucir,"to shine; to show off, to display",,{v}
luciérnaga,firefly,f,{noun}
lucrar,"to obtain one's desires; to profit, win, gain, opportune, lucrate",,{v}
lucrativo,"lucrative, profitable",,{adj}
lucro,"profit, gain, lucre",m,{noun}
luctuoso,"sad, mournful, grieving",,{adj}
láudano,laudanum,m,{noun}
ludista,Luddite,mf,{noun}
ludoteca,games room; playroom,f,{noun}
luego,later; soon; then; therefore,,{adv}
luego luego,"at once, immediately",,{adv}
lugar,place,m,{noun}
lugarteniente,"deputy, lieutenant",mf,{noun}
Luis,"male given name, cognate to Louis",,{prop}
Luisa,"female given name, cognate to Louise",,{prop}
Luisiana,Louisiana,,{prop}
Luisito,male given name,,{prop}
lujo,luxury,m,{noun}
lujoso,luxurious,,{adj}
lujuria,excess; lust,f,{noun}
lujurioso,lustful,,{adj}
Lula,A pet form for Lourdes (including María de Lourdes),,{prop}
lulo,A tart tomato-like fruit that grows in Colombia and Ecuador,m,{noun}
lumbar,lumbar,,{adj}
lumbre,"combustible material; fire (matter that has produced or is capable of producing fire); light produced by fire; luminosity, clearness",f,{noun}
lumbrera,lamp or other device for giving light; louver; luminary (all senses); eyes,"f [dated]; f; f; f [poetic, plural]",{noun}
lumia,whore; hooker,f,{noun}
luminaria,"altar lamp; lamp, light; vigil fire; luminary, star, celebrity",f; mf,{noun}
luminol,luminol,m [organic compound],{noun}
luminoso,"luminous, bright",,{adj}
lumpectomía,lumpectomy,f [surgery],{noun}
luna,moon,f,{noun}
Luna,Earth's Moon; female given name of modern usage; Spanish surname,,{prop}
luna de miel,honeymoon (trip taken by a newly married couple),f,{noun}
lunamoto,moonquake,m,{noun}
lunar,"lunar; mole, birthmark",,{adj}; {noun}
lunes,Monday,m,{noun}
luneta,lunette; box (seating compartment in a theater); lens,f [architecture]; f; f,{noun}
lunático,lunatic,m,{noun}
lupa,magnifying glass,f,{noun}
lupanar,brothel,m,{noun}
lustrabotas,shoeshiner,m,{noun}
lustrar,to polish,,{v}
lustre,luster,m,{noun}
lustro,lustrum,m,{noun}
lustroso,"lustrous, glossy",,{adj}
lutecio,lutetium,m,{noun}
Lutero,Luther,,{prop}
luto,mourning,m,{noun}
lutria,otter,f,{noun}
lux,lux,m,{noun}
Luxemburgo,Luxembourg,,{prop}
luxemburguesa,feminine form of luxemburgués,f,{noun}
luxemburgués,Luxembourgish (from or native to Luxembourg); Luxembourgish (pertaining to Luxembourg); A person from Luxembourg; the Luxembourgish language,,{adj}; {noun}; {prop}
luz,lumen; light,f [anatomy]; f,{noun}
Luz,female given name,,{prop}
luz de cruce,dipped headlight,f,{noun}
luz trasera,taillight; taillamp,f,{noun}
luz zodiacal,zodiacal light,f [astronomy],{noun}
lívido,"livid, ashen, leaden gray",,{adj}
léxico,lexical; lexicon (dictionary or vocabulary),,{adj}; {noun}
Lyón,Lyons (a city in France),,{prop}
m.,noon,,{abbr}
m,Used in SMS for me; The 13th letter of the Spanish alphabet,,{abbr}; {letter}
mí,Declined form of yo used as the object of a preposition. Me,,{pron}
Mª,abbreviation of the given name María,,{abbr}
M,The 13th letter of the Spanish alphabet,,{letter}
mía,"feminine form of mío Mine, my; feminine form of mío Mine",,{adj}; {pron}
maña,"bad habit, vice, mania; bad temper, ill humor; Skill or ability",f [Latin America]; f,{noun}
mañana,"soon, shortly; tomorrow; the morning; the near future; tomorrow",,{adv}; {noun}; {noun}
macabeo,"henpecked, whipped; Of, from, or pertaining to Macas (city in Ecuador); Of or pertaining to the Maccabees (Jewish liberation movement); A person from Macas (city in Ecuador); one who is henpecked or whipped",,{adj} [Chile]; {adj}; {adj}; {noun}; {noun}
macabro,macabre,,{adj}
macaca,"binge, drunken spree, drunk, jag; masturbation; female hobgoblin; female macaque monkey; see macaco; macaca, a small coin equal to one peso; Brazilian woman","f; f [Chile, vulgar]; f; f; f [Honduras]; f [South America, pejorative]",{noun}
macaco,"ugly, misshapen, deformed, squat; hobgoblin, bogeyman; macaque; Brazilian",,{adj} [slang]; {noun}; {noun}; {noun}
macanudo,"great, extraordinary; pretentious, ostentatious, magnificent","adj [Latin America, colloquial]",{noun}
macaquitos,Brazilians (often implying a perceived tendency to copy American and European fads); little monkeys,"mp [by extension, slang, derogatory]; mp [literally]",{noun}
macarrón,"pimp (prostitution solicitor); macaroon; sheath, sleeving; sleeving tube or pipe",m [colloquial]; m; m; m,{noun}
macarrónico,macaronic,,{adj}
macartismo,McCarthyism,m,{noun}
Macedonia,Macedonia,,{prop}
macedonio,Macedonian; Macedonian,,{adj}; {noun}
maceración,maceration,f,{noun}
macerar,to macerate (soften in a liquid),,{v}
maceta,flowerpot,f,{noun}
macha,Chilean razor clam (edible mollusk),f,{noun}
machaca,machada (insect); machada (meat),f,{noun}
machacar,To crush,,{v}
machar,"to grind, to pound",,{v}
macharse,to get drunk,v [Latin America],{noun}
machetazo,cut or hit with a machete,m,{noun}
machete,machete; mediocre method for obtaining somewhat accurate results; shortcut,m,{noun}
machetear,to chop with a machete,,{v}
machismo,machismo,m,{noun}
machista,chauvinistic; male chauvinist,,{adj}; {noun}
macho,"male; strong, brave; anvil; large hammer used to forge; male",,{adj}; {noun}; {noun}; {noun}
machorra,"virago, tomboy; sterile female",f [Mexico]; f,{noun}
machorro,"male, big daddy, a pussyman",m [augmentative],{noun}
machucar,"to bruise; to squash, crush",,{v}
macis,mace (spice),m,{noun}
macizo,"massive, large; hunky, dishy; solid; flowerbed; massif; mass, solid; A hunk",,{adj}; {adj} [slang]; {adj}; {noun}; {noun}; {noun}; {noun}
maco,prison,m,{noun}
macolla,"Stems, flowers, tillers, etc. growing in a clump or tuft, as with bunchgrass",f,{noun}
macrón,macron,m,{noun}
macroeconómico,macroeconomic,,{adj}
macroeconomía,macroeconomics; macroeconomy,f,{noun}
macroelemento,macroelement,m,{noun}
macroglobulina,macroglobulin,f [protein],{noun}
macroscópico,macroscopic,,{adj}
Madagascar,Madagascar,,{prop}
madeja,"skein, hank, ball of yarn",f,{noun}
madera,"makings; wood; wooden plank, board",f,{noun}
maderería,shop selling wood and wood products,f,{noun}
maderero,related to logging; A lumberjack; A male woodworker; An overseer of something wood related; A wooden raft or log navigator on a watercourse,,{adj}; {noun}; {noun}; {noun}; {noun}
madero,"a piece of wood; a clumsy person; police officer, compare pig","m; m [Spain, derogatory]; m [Spain, derogatory]",{noun}
madrastra,stepmother,f,{noun}
madre,mother,f,{noun}
madreña,clog,f,{noun}
madrear,"to look like one's mother; to damage, break or break down something; to strongly pound someone",,"{v}; {v} [vulgar, Mexico]; {v} [vulgar, Mexico]"
madrearse,to turn sour,v [said especially of wine],{noun}
Madrid,Madrid; The letter M in the Spanish phonetic alphabet,,{prop}
madridista,"Of or from Madrid; Of or connected to Real Madrid, a famous football club from Madrid; Madridista (Someone who plays for or works for Real Madrid); Someone from Madrid",,{adj}; {adj} [soccer]; {noun}; {noun}
madriguera,"burrow, den",f,{noun}
madrileño,Madrilenian; of or from Madrid; Madrilenian; a person from Madrid,,{adj}; {noun}
madrina,godmother,f,{noun}
Madriz,Madriz,,{prop}
madroño,"Fruit of the strawberry tree; strawberry tree, Arbutus unedo",m,{noun}
madrugada,"dawn; early hours of the morning, before dawn; period of time between midnight and before the sunrise",f,{noun}
madrugador,"rising or waking early; early riser, early bird",,{adj}; {noun}
madrugar,to get up early,,{v}
madrugón,"early riser, early bird; early start",m [colloquial],{noun}
maduración,maturation; ripening,f,{noun}
madurar,to mature; to ripen,,{v}
madurativo,Made mature,,{adj}
madurez,maturity,f,{noun}
madurita,MILF (older sexually attractive woman),f,{noun}
maduro,"mature, of relatively old age (said of people); ripe; short for plátano maduro - ""ripe plantain""",,{adj}; {noun}
mae,"guy, man",m [Costa Rica],{noun}
maese,master,m [obsolete],{noun}
maeso,(disuse) master,m,{noun}
maestra,(master) craftswoman; mistress; teacher (female),f,{noun}
maestría,mastery,f,{noun}
maestre de campo,colonel (rank below capitán general in the Spanish Empire),m [archaic],{noun}
maestro,"expert, master; master; (master) craftsman, handyman, contractor, construction worker; teacher (male)",,{adj}; {noun}; {noun}; {noun}
mafia,Mafia (any criminal organisation); Mafia (Italian Mafia),f,{noun}
mafioso,Mafioso,m,{noun}
maga,"female magician, female conjurer",f,{noun}
magdalena,cupcake; madeleine (cake),f,{noun}
Magdalena,"female given name, cognate to Magdalene",,{prop}
magia,"magic; spell, charm, conjuration",f,{noun}
magia blanca,"white magick, white magic",,{n}
magia gris,gray magick,,{n}
magia negra,"black magick, black magic",,{n}
magistrado,judge,m,{noun}
magistral,"magistral, magisterial",,{adj}
magistralmente,"magisterially, masterly",,{adv}
magistratura,magistracy,f,{noun}
magmático,magmatic,,{adj}
magnanimidad,magnanimity,f,{noun}
magnate,"magnate, tycoon",m,{noun}
magnesia,magnesia,f,{noun}
magnesio,magnesium,m,{noun}
magnetar,magnetar,f,{noun}
magnetismo,magnetism (the property of being magnetic),m,{noun}
magnetita,magnetite,f,{noun}
magneto,magneto,m,{noun}
magnetoestrella,magnetar,f,{noun}
magnetosfera,magnetosphere,f,{noun}
magnífico,magnificent,,{adj}
magnicidio,assassination,m,{noun}
magnitud,magnitude,f,{noun}
magnánimo,magnanimous,,{adj}
magno,great,,{adj}
magnético,magnetic,,{adj}
mago,"magician (attributive); Magi; magician, sorcerer",,{adj}; {noun}; {noun}
magro,"lean, without fat; loin of pork",,{adj}; {noun}
magíster,magister (the possessor of a master's degree),m,{noun}
maguey,maguey,m,{noun}
magulladura,bruise,f,{noun}
magullar,to bruise,,{v}
Maguncia,Mainz (capital of Rhineland-Palatinate),,{prop}
Mahoma,Muhammad (Islamic prophet),,{prop}
mahometano,Muslim; Muslim,,{adj}; {noun}
Maine,Maine,,{prop}
Maite,female given name,,{prop}
maizal,piece of land cultivating corn; cornfield,m,{noun}
maizena,"cornflour, cornstarch",f,{noun}
majaderamente,foolishly,,{adv}
majadero,clown; fool; pestle,m,{noun}
majar,to crush; to grind; to pound,,{v}
majestad,majesty,f,{noun}
majestuosamente,"majestically, kingly",,{adv}
majestuoso,"majestic, majestical, august, grand; stately, pompous",,{adj}
majo,"good-looking, handsome; likeable, nice, pretty","adj [Spain, informal]",{noun}
mal,"badly; poorly; evil, harm; a bad thing or situation",,{adv}; {noun}
Malí,Mali (country in Western Africa),,{prop}
mala,suitcase,f,{noun}
malabar,Malayalam (language),m,{noun}
malabarismo,juggling,m,{noun}
malabarista,juggler,mf,{noun}
malacate,A type of capstan or winch formerly used in mines to extract minerals and water,m [historical],{noun}
malacitano,of or from Málaga; person from Málaga,,{adj}; {noun}
malagueño,of or from Malaga; person from Malaga,,{adj}; {noun}
malaguista,"A person connecting with Malaga CF, as a fan, player, coach etc.",mf [soccer],{noun}
mala leche,Bad intention when doing something harmful to someone,"f [colloquial, Spain]",{noun}
malandro,delinquent; young delinquent,"m [colloquial, Uruguay, masculine only]; m [colloquial, Venezuela]",{noun}
malaquita,malachite,f,{noun}
malaria,malaria,f,{noun}
Malasia,Malaysia,,{prop}
malasio,Malaysian; Malaysian,,{adj}; {noun}
mala suerte,bad luck; tough luck,,{interj}
malatión,malathion,m,{noun}
malato,malate,m,{noun}
malauí,Malawian; Malawian,,{adj}; {noun}
Malaui,Malawi (Republic of Malawi),,{prop}
Malawi,alternative spelling of Malaui,,{prop}
malayalam,Malayalam (language),m,{noun}
malayo,Malay (from Malaysia); Malay (language); Malay (person),,{adj}; {noun}; {noun}
malbaratar,to squander,,{v}
malcriada,feminine form of malcriado,f,{noun}
malcriado,spoiled (having a selfish or greedy character due to pampering); One who is spoiled,,{adj}; {noun}
maldad,badness; evilness; bad or evil deed,f,{noun}
maldecir,"to damn, to curse",,{v}
mal de coco,"off one's head, off one's rocker (crazy)","adj [colloquial, idiomatic]",{noun}
mal de ojo,evil eye (curse done by a malevolent gaze),m,{noun}
maldición,curse,f,{noun}
malditamente,very badly,,{adv}
maldito,"cursed, damned; damn",,{adj}; {interj}
Maldivas,Maldives,,{prop}
maldivo,Maldivian; Maldivian (person),,{adj}; {noun}
Maldonado,A city in Uruguay; Spanish surname,,{prop}
maleabilidad,"malleability, malleableness",f,{noun}
maleable,malleable; plastic (capable of adapting to varying conditions),,{adj}
maleante,"malicious; gangster, criminal",,{adj}; {noun}
malear,to corrupt; to make bad; to pervert,,{v}
maledicencia,"gossip, slander",f,{noun}
maleducado,"bad mannered, rude",,{adj}
malentendido,misunderstanding,m,{noun}
malestar,discomfort; unease,m,{noun}
maleta,"trunk, boot (of a car); suitcase","f [Chile, Venezuela]; f",{noun}
maletero,"trunk, boot (space to carry luggage)","m [Cuba, Bolivia, Spain]",{noun}
maletita,diminutive form of maleta,f,{noun}
maletín,briefcase,m,{noun}
maleza,underbrush; weed,f,{noun}
maléfico,evil,,{adj}
malformación,malformation,f,{noun}
malfuncionar,to malfunction,,{v}
malgache,Malagasy; Malagasy,,{adj}; {noun}
malgastar,to waste,,{v}
malhadado,burdened with bad luck,,{adj}
malhechor,wrongdoer,m,{noun}
malherir,"to injure fatally, mortally wound",,{v}
malhumorado,"crabby, peevish; sullen",,{adj}
malicia,malice,f,{noun}
maliciosamente,maliciously,,{adv}
malicioso,malicious,,{adj}
maliense,Malian; Malian,,{adj}; {noun}
malignidad,"malignancy, malignity",f,{noun}
maligno,malicious; malignant,,{adj}; {adj} [oncology]
malintencionado,"ill-intentioned, evil-minded",,{adj}
malinterpretar,to misinterpret,,{v}
malla,mesh (cloth); strap handle,f,{noun}
mallar,alternative spelling of majar,,{v}
mallo,a kind of game; mallet,m,{noun}
Mallorca,Mallorca,,{prop}
mal nacido,"ill-bred, mean",,{adj}
malnacido,"disgusting, abominable (of a person or animal); asshole, pig, son of a bitch, bastard",,{adj}; {noun}
malnutrición,malnutrition,f,{noun}
malo,bad; evil; sick,,{adj}
malogrado,unsuccessful; abortive,,{adj}
malograr,to ruin,,{v}
maloka,house,f [Colombia],{noun}
malos tratos,domestic violence,m,{noun}
malparido,"disgusting, abominable (of a person or animal); asshole, pig, son of a bitch, bastard",,{adj}; {noun}
malpaís,"akin to badlands, but of volcaniclastic origin; karst",m; m [geology],{noun}
malsano,unhealthy,,{adj}
malísimo,"superlative form of malo Very bad, dreadful",,{adj}
malta,malt; malta,f,{noun}
Malta,Malta,,{prop}
maltasa,maltase,f [enzyme],{noun}
maltesa,feminine form of maltés,f,{noun}
maltitol,maltitol,m [organic compound],{noun}
maltodextrina,maltodextrin,f,{noun}
maltosa,maltose,f [carbohydrates],{noun}
maltotriosa,maltotriose,f [carbohydrates],{noun}
maltratar,to mistreat,,{v}
maltés,Maltese (from or native to Malta); Maltese (pertaining to Malta); a Maltese person; the Maltese language,,{adj}; {noun}; {prop}
malva,mauve; mallow; mauve,,{adj}; {noun}; {noun}
malvadamente,"wickedly, naughtily, mischievously, hellishly",,{adv}
malvado,"evil, wicked, mean, bad",,{adj}
malvavisco,mallow; marshmallow,m; m [Mexico],{noun}
malvender,to sell for less than cost,,{v}
malversador,"embezzler, grafter, peculator",m,{noun}
malversar,to embezzle,,{v}
Malvinas,"Falklands, Falkland Islands",,{prop}
malvinense,"Falkland Islands; Falklander, Falkland Islander",,{adj} [attributive]; {noun}
malvivir,to live badly,,{v}
malévolo,"malicious, evil",,{adj}
mamá,"mum, mom","f [colloquial, familiar]",{noun}
mama,"breast, mamma",f,{noun}
mamacita,"diminutive form of mamá; babe, hottie (sexually attractive woman)","f; f [Latin America, slang]",{noun}
mamada,"drunkenness; cinch, something easy; milk; (of baby) feeding time; blow job; suck; an intentional mean action or statement; a stupid action or statement; a practical joke","f [Argentina, Bolivia, Nicaragua, Paraguay, Uruguay, colloquial]; f [Latin America]; f; f [slang]; f; f [vulgar, Mexico]",{noun}
mamadera,baby bottle,f,{noun}
mamadita,diminutive form of mamada,f,{noun}
mamado,muscular (having well-developed muscles),,"{adj} [slang, Mexico]"
mamañema,cocksucker,mf [literally],{noun}
mamahuevo,cocksucker,m [vulgar],{noun}
mamar,(blowjob) to blow; to bullshit or fuck around; to suck; to suckle,,{v}
mamario,mammary,,{adj}
mamarracho,"buffoon, clown (ridiculous, badly dressed person)","m [pejorative, colloquial]",{noun}
mamba,mamba,f,{noun}
mambo,mambo (dance); mambo (music),m,{noun}
mamey,"The mamey or mammee apple, Mammea americana",m,{noun}
