Spanish Word,Translation,Prevalence,Gender,Part-of-Speech
haberse,"have, have visited",0.96,,AUX
haberte,"have you, to",0.87,,AUX
habertelo,have it,0.36,,SPACE
habet,habet,0.36,,AUX
habias,"you had, habias",0.36,,AUX
habib,"habib, skillful",0.41,M,NOUN
habido,"been, they haven't hadn't arrived, there have been, verified",0.97,,AUX
habiendo,"having, they haven't hadn't arrived",0.94,,AUX
habilidad,"ability, skill",0.95,F,NOUN
habilidoso,"skilled, skillful",0.68,,ADJ
habilitación,"authorization, qualification",0.36,F,NOUN
habilitado,"enabled, paymaster, security cleared",0.78,,ADJ
habilitar,"enable, to fit out",0.78,,VERB
habilitarse,"be enabled, register",0.36,,VERB
habitabilidad,habitability,0.6,F,NOUN
habitación,"room, habitación (bedroom)",0.98,F,NOUN
habitado,"inhabited, to live in",0.7,,ADJ
habitante,"resident, inhabitant, habitant",0.79,F,NOUN
habitar,"inhabit, inhabit (to -), live, to live in",0.78,,VERB
habitarse,inhabit,0.36,,VERB
habituación,habituation,0.7,F,NOUN
habituada,accustomed,0.36,,ADJ
habituado,"habituated, accustomed",0.69,,ADJ
habitualidad,"regularity, habituality",0.36,,ADP
habitualmente,"regularly, habitually, usually",0.96,,ADV
habituarse,get used to,0.53,,VERB
habitáculo,"cockpit, passenger compartment",0.74,M,NOUN
habiéndolo,"having it, having read",0.36,,AUX
habiéndolos,having them,0.36,,AUX
habiéndome,"having visited, having me",0.36,,AUX
habiéndote,"having visited, having you",0.36,,AUX
hablabas,"you were speaking, to speak, spoken communication, you spoke",0.76,,VERB
habladme,"talk to me, to speak",0.53,M,NOUN
hablado,"s, spoken",0.96,,ADJ
habladora,"talkative, chatty",0.53,F,NOUN
hablapato,"hablapato, talker, giant mussel",0.53,M,NOUN
hablar,"talk, to speak, speak",0.99,,VERB
hablarlas,"talk to them, speak them",0.36,,VERB
hablarle,"talk to him, to speak",0.89,,VERB
hablarles,"talk to them, to speak",0.76,,VERB
hablarlo,"talk about it, speak it, to speak",0.61,,VERB
hablarme,"talk to me at, talk to me, to speak",0.8,,VERB
hablarnos,"talk to us at, tell, to speak",0.53,,VERB
hablarr,"hablarr, talk, to speak",0.53,,PROPN
hablarse,"talk to each other, can be reached at, to speak",0.76,,VERB
hablarsubir,"hablarsubir, speak up",0.36,,VERB
hablarte,""" water is coming in! "", to speak, talk to you",0.79,,VERB
hablarías,"would you talk, you would speak",0.36,,VERB
hablaís,you speak,0.36,,ADJ
hables,"talk, to speak, speak",0.91,,VERB
hablándoles,"to speak, talking to them, speaking to them",0.54,,VERB
habra,"there will be, they haven't hadn't arrived",0.9,,AUX
habran,"there will be, they haven't hadn't arrived",0.65,,AUX
habras,"will you have, they haven't hadn't arrived, habras",0.54,,AUX
habre,"there will be, habre",0.36,,AUX
habreis,"you will have, they haven't hadn't arrived",0.41,,AUX
habremos,"they haven't hadn't arrived, we will have",0.89,,AUX
habrfa,"there would be, there will be",0.36,,VERB
habrias,"you would have, would you have",0.36,,AUX
habrá,", there will be, does not show, they haven't hadn't arrived",0.99,,AUX
habrán,"will have, there will be, they haven't hadn't arrived",0.93,,AUX
habrás,"you will have, they haven't hadn't arrived",0.91,,AUX
habráse,"will have, there will be",0.36,M,NOUN
habré,"I will have, i will have, they haven't hadn't arrived",0.87,,AUX
habría,"there would be, would, they haven't hadn't arrived",0.99,,AUX
habríamos,"would help, we would have, they haven't hadn't arrived",0.86,,AUX
habrían,"would have, they haven't hadn't arrived",0.95,,AUX
habrías,"you would have, they haven't hadn't arrived",0.86,,AUX
habsburgo,"habsburg, hapsburg, Hapsburg",0.84,M,NOUN
habtá,habtá,0.36,,VERB
habérmelo,"have me, to",0.54,,AUX
habérnoslo,"you should have told us, let us know",0.36,,PROPN
habérsela,"having, have it",0.41,,AUX
habérsele,"having, have been",0.74,,AUX
habérselo,"to have had it, to, have it",0.76,,AUX
habértelo,"you could have, have it",0.36,,AUX
había,there was,1.0,,AUX
habíale,"had told him, talk to him",0.36,,PROPN
habíamos,"we had, they haven't hadn't arrived",0.92,,AUX
habían,"they had, had, there were",1.0,,AUX
habíanle,"catalan speaker, they had, habíanle",0.53,,PUNCT
habías,"you had, they haven't hadn't arrived",0.93,,AUX
habíase,"had been, had visited",0.36,,AUX
hacedor,"miracle worker, maker",0.82,,ADJ
hacel,"do it, hacel",0.36,F,NOUN
hacemso,"let's do it, we do",0.36,,ADJ
hacer,"make, to make, do",1.0,,VERB
haceres,"you will do, do",0.36,,VERB
hacerla,"make it, do it, to make",0.91,,VERB
hacerlas,"make them, to make, hacerlas.",0.87,,VERB
hacerle,"make you, make him",0.95,,VERB
hacerles,"make them, to make",0.89,,VERB
hacerlo,"make it, do it, to make",0.99,,VERB
hacerlos,"make them, to make",0.89,,VERB
hacerme,"make me, to make",0.92,,VERB
hacermela,"do it to me, make it for me",0.36,,VERB
hacernos,"to make, make us",0.91,,VERB
haceros,"go to, make you, to make",0.76,,VERB
hacerr,"make, do",0.36,M,NOUN
hacerse,"be  made, to make, become, to be made",0.97,,VERB
hacerte,"make you, to make",0.93,,VERB
hachado,"hachado, axed",0.36,M,NOUN
hachar,"blow of an ax, ax, hash",0.53,,VERB
hachazo,"hack, hachazo",0.36,M,NOUN
hache,"name of the letter, hache, hah",0.62,F,NOUN
hacia,"toward, to, towards",1.0,,ADP
hacias,"you did, to",0.36,,ADP
hacienda,"hacienda, tax authorities, estate",0.92,F,NOUN
hacinamiento,overcrowding,0.66,M,NOUN
haciéndola,"making it, doing it, to make",0.77,,VERB
haciéndolas,"to make, making them",0.66,,VERB
haciéndoles,"to make, making them",0.75,,VERB
haciéndolos,"to make, making them",0.72,,VERB
haciéndome,"making me, to make, doing to me",0.61,,VERB
haciéndoselo,"making it, doing it to him",0.36,M,NOUN
haciéndote,"making you, to make",0.41,M,NOUN
hack,"hack, to make",0.62,M,NOUN
hackeable,"hackable, to hack",0.66,M,NOUN
hackeado,"hacked, to hack",0.83,,ADJ
hackean,hack,0.36,,ADJ
hackear,"hack, to hack",0.84,,VERB
hackearla,"to hack, hack it",0.53,,VERB
hackman,hackman,0.36,,PROPN
hacérmelo,"make it, do it to me",0.36,,VERB
hacérselo,"make it, do it, to make",0.74,,VERB
hacérselos,"do them, make them, to make",0.62,,VERB
hacíale,"did him, made him",0.36,F,NOUN
hada,fairy,0.66,F,NOUN
hadda,"fairy, hadda",0.53,,PROPN
haddad,"haddad, fairy story",0.41,F,NOUN
hado,"fairy, fate",0.54,,ADJ
hadoop,"hadron, hadoop",0.41,F,NOUN
hadopi,"fate, hadopi",0.67,,SPACE
hador,"stench, hador",0.7,,ADJ
hae,hae,0.36,,PROPN
haeckel,"haeckel, hacker",0.41,,VERB
haer,"haer, they haven't hadn't arrived, do",0.54,,PROPN
haffner,haffner,0.41,,VERB
hafiz,hafiz,0.36,,PUNCT
hag,"gag, hag",0.41,,PROPN
hagaunagüé,"hagaunagüé, make aagüé",0.36,M,NOUN
hagen,"harem, hagen",0.98,F,NOUN
hager,hager,0.36,M,NOUN
haggid,haggid,0.36,,PROPN
hagguid,hagguid,0.35,,ADJ
hagiografía,hagiography,0.54,F,NOUN
hagn,hagn,0.36,,VERB
hagui,"hagui, to make",0.53,,PROPN
haha,haha,0.53,,AUX
hahah,hahah,0.35,,AUX
hahahaha,hahahaha,0.41,,INTJ
hahahahaha,"hahahahaha, hahahahahaha",0.41,,INTJ
haica,haica,0.35,,PROPN
haidar,haidar,0.35,,VERB
haifa,haifa,0.35,,SPACE
haiku,haiku,0.54,M,NOUN
hailey,hailey,0.35,,PROPN
hailo,"thread, hailo",0.54,M,NOUN
haircut,haircut,0.35,,PROPN
haitiano,"haitian, Haitian",0.9,,ADJ
haitianoamericano,"Haitian-American, haitian american",0.35,M,NOUN
haitorei,"haitorei, to cheer",0.53,F,NOUN
haití,haiti,0.92,,PROPN
hakem,"sake, hakem",0.61,,VERB
hakim,hakim,0.35,,PROPN
hakimi,"hakimi, haiku",0.54,,VERB
hakuun,hakuun,0.35,F,NOUN
hal,"hall, hal",0.89,,PROPN
halagado,"to flatter, flattered",0.66,,ADJ
halago,"praise, compliment, flattery",0.61,M,NOUN
halagueñas,flattering,0.35,,PROPN
halakhic,halakhic,0.35,,PROPN
halal,halal,0.35,F,NOUN
halar,pull,0.35,,VERB
halbarad,"haberd, to squander, halbarad",0.82,M,NOUN
halcyon,"halcyon, falcon",0.61,M,NOUN
halcón,"falcon, hawk",0.89,M,NOUN
haldir,"haldir, to split",0.91,,VERB
haleth,"breath, haleth",0.41,,ADV
halifirien,halifirien,0.41,M,NOUN
hall,"foyer, lobby, hall",0.88,M,NOUN
hallado,"found, to find",0.87,,ADJ
hallar,"to find, find",0.91,,VERB
hallard,"to find, hallard",0.54,,PROPN
hallarla,"find it, find her",0.35,,VERB
hallarme,find me,0.35,,VERB
hallarnos,"find us, to find",0.41,,VERB
hallarse,"be, to find, be found at",0.91,,VERB
hallarás,"you will find, to find",0.66,,VERB
hallazgo,"find, finding",0.97,M,NOUN
hallet,hallet,0.35,M,NOUN
hallisey,"hallisey, woodcarver",0.66,M,NOUN
hallyu,hallyu,0.35,,PROPN
hallán,"hallán, find",0.35,M,NOUN
halo,halo,0.82,,ADJ
hambre,"famine, hunger",0.96,F,NOUN
hambriento,"famished, hungry",0.87,,ADJ
hambruna,famine,0.8,F,NOUN
hamburgo,hamburg,0.74,,PROPN
hamburguesa,"of hamburg, hamburger",0.72,F,NOUN
hamelín,hamelin,0.35,M,NOUN
hamer,"hamer, they haven't hadn't arrived",0.66,,VERB
hamid,hamid,0.35,,PROPN
hamilton,hamilton,0.74,,PROPN
hamlet,"hamlet, hamlets",0.72,M,NOUN
hammer,"hammer, hunger",0.53,,PROPN
hammerstein,hammerstein,0.41,,PROPN
hammurabi,hammurabi,0.54,,ADV
hampa,"underworld, criminals",0.7,F,NOUN
hampshire,"nueva, hampshire",0.8,,SPACE
hampton,"hampton, thug",0.53,,SPACE
hamza,"hamsa, hamza, criminals",0.66,,PROPN
hamás,hamas,0.78,,ADV
han,"have, they have",1.0,,AUX
hanafi,hanafi,0.35,,PUNCT
hand,"hands, hand",0.35,,PROPN
handicar,"handicar, handicap",0.35,,VERB
handle,handle,0.35,,PROPN
hanegraaff,hanegraaff,0.35,M,NOUN
hang,"broad bean, hang",0.59,M,NOUN
hangar,hangar,0.54,,VERB
hangchow,hangchow,0.35,,ADJ
hangleton,"miter joint, hangleton",0.66,,SPACE
hangouts,"hangouts, monkey",0.41,,PROPN
hangzhou,hangzhou,0.61,,VERB
hanif,hanif,0.35,M,NOUN
hannah,"hannah, hangar",0.82,F,NOUN
hannelore,hannelore,0.35,,SPACE
hanover,hanover,0.54,,VERB
hanpuesto,"they have put, hanpuesto",0.35,M,NOUN
hans,"where is hans from, hans",0.88,M,NOUN
hansen,hansen,0.35,,PROPN
hao,hao,0.35,,INTJ
har,"hall, har",0.54,,AUX
hara,"hara, to make",0.83,,AUX
harad,"harad, stud farm",0.88,M,NOUN
haradrim,"plover, haradrim",0.79,F,NOUN
haradwaith,haradwaith,0.35,F,NOUN
haragán,"sluggard, lazy, slob, slacker",0.77,,ADJ
harapiento,ragged,0.41,M,NOUN
harari,"hourly, harari",0.56,,AUX
harbor,harbor,0.7,M,NOUN
hard,"hard, hard-core",0.85,,PROPN
harder,"harder, more",0.35,,VERB
hardware,hardware,0.96,M,NOUN
hardwicke,hardwicke,0.35,M,NOUN
harguindey,harguindey,0.81,,PROPN
harina,flour,0.94,F,NOUN
hariti,hariti,0.35,,PROPN
harko,harko,0.35,,PROPN
harlem,"harlem, chatterbox",0.84,,SYM
harma,"harma, last",0.41,F,NOUN
harmoniae,harmoniae,0.35,,PROPN
haro,haro,0.57,,PROPN
harol,harol,0.35,,PRON
harold,"guión de pinter, harold",0.7,,PROPN
harper,"harper, harpers",0.72,,PROPN
harpo,"harpo, fed up",0.61,,PROPN
harre,"harre, to make",0.41,,PROPN
harrelson,harrelson,0.35,,PROPN
harriet,harriet,0.35,,ADJ
harrington,harrington,0.35,,PROPN
harris,"outer hebrides, hashish, harris",0.85,F,NOUN
harrison,"to wrinkle, harrison",0.53,,PROPN
harshavardana,harshavardana,0.35,,PROPN
hart,"hart, fed up",0.54,,ADJ
harta,"harta, fed up",0.8,,AUX
hartado,fed up,0.54,,ADJ
hartar,"hartar, satiate",0.53,,VERB
hartarse,get fed up,0.35,,VERB
hartazgo,"they gorged themselves, boredom, satiety",0.7,M,NOUN
harte,"sick of you, harte",0.35,,VERB
harto,"harto, fed up",0.93,,ADJ
hartog,"hartog, fed up",0.62,,SPACE
hartura,"satiety, hartura",0.35,F,NOUN
hartzenbusch,hartzenbusch,0.41,,SPACE
hartón,"harton, fed up",0.35,M,NOUN
harvard,"un licenciado de, harvard",0.91,,PROPN
harvest,harvest,0.35,,PROPN
harvey,harvey,0.89,,VERB
harware,"hardware, harware",0.61,M,NOUN
has,"have you, has",0.99,,AUX
hasekura,hasekura,0.35,F,NOUN
hashflare,hashflare,0.35,,PROPN
hasido,has been,0.35,,AUX
hasler,"hasler, to speak",0.9,,VERB
hast,"until, to",0.78,,ADP
hasta,"until, to",1.0,,ADP
hastadndvamosallegar,"hastadndvamosallegar, to gather together, untilwe get there",0.71,,VERB
hastag,"until, hashtag, hastag",0.65,,ADV
hastiado,jaded,0.69,,ADJ
hasán,"hasan, until",0.53,F,NOUN
hatajo,"bundle, bunch",0.41,,ADJ
hate,"bundle, hate",0.91,,PROPN
hater,"they haven't hadn't arrived, hater",0.69,F,NOUN
hathayoga,hathayoga,0.35,F,NOUN
hatot,hatot,0.35,,VERB
hatoum,"hatoum, bundle",0.41,,PROPN
hatter,hatter,0.35,,VERB
hatthavanagallaviharavasa,hatthavanagallaviharavasa,0.35,F,NOUN
hatti,hatti,0.35,M,NOUN
hattie,hattie,0.35,F,NOUN
hatum,"low intellectual level, hatum",0.41,,PROPN
haudh,haudh,0.35,,PROPN
hauer,"hauer, they haven't hadn't arrived",0.41,M,NOUN
haugeland,"haugeland, new zealand",0.54,,PROPN
haus,"house, haus",0.35,M,NOUN
hauser,hauser,0.35,,VERB
havana,"great deed, havana",0.96,F,NOUN
have,have,0.83,F,NOUN
haviland,haviland,0.35,,PROPN
hawai,hawaii,0.61,,PROPN
hawk,"broad bean, hawk",0.72,M,NOUN
hawking,"hawking, parking lot",0.53,M,NOUN
hawkins,hawkins,0.61,,PROPN
hay,"there are, there is",1.0,,AUX
haya,"beech, is",0.99,,AUX
hayais,"hayais, beech, they haven't hadn't arrived",0.41,,AUX
hayamos,"let's have, they haven't hadn't arrived, we have",0.92,,AUX
hayan,"have, they haven't hadn't arrived, who have",0.97,,AUX
hayao,hayao,0.35,,PROPN
hayas,"beeches, fagus sylvatica, beech, they haven't hadn't arrived",0.96,,AUX
hayashi,"hayashi, beechashi",0.35,F,NOUN
haydee,haydee,0.35,,PRON
hayehudim,hayehudim,0.35,M,NOUN
hayes,"they haven't hadn't arrived, hayes, there is",0.56,,ADJ
hayley,"come on, hayley",0.41,,PROPN
hazaña,"great deed, feat",0.87,F,NOUN
hazinta,"beaminta, hazinta",0.35,F,NOUN
hazmerreír,"laughingstock, laughing stock",0.41,,VERB
hazzor,hazzor,0.53,,VERB
hbo,"two-piece suit, hbo",0.92,,PROPN
hc,hc,0.54,,PROPN
hci,hci,0.35,,ADJ
hct,"oct, hct",0.41,,SPACE
hd,hd,0.91,,PRON
hdi,hdi,0.35,,NUM
hdp,"hdp, dept",0.61,,PROPN
hdr,"mrsa, hdr",0.97,,DET
hdx,"hdx, hdmi",0.79,,DET
he,"have (been), he, i have",1.0,,AUX
head,"freezing, head",0.74,F,NOUN
headhunter,headhunter,0.35,,PROPN
heang,heang,0.35,,PROPN
hearst,"hearst, to get off",0.53,F,NOUN
heart,"fed up, heart",0.71,,PROPN
heaven,"heaven, heavy metal",0.41,,PROPN
heavenfield,heavenfield,0.35,M,NOUN
hebert,hebert,0.35,F,NOUN
hebreo,"Hebrew, hebrew",0.86,M,NOUN
hecatombe,"hecatomb, disaster",0.65,,PROPN
hechar,"hechar, make",0.35,,VERB
hecharle,"send it to, to bribe, make him",0.53,,VERB
hecharse,"go to, get done",0.35,,VERB
hechicera,"sorceress, enchanting",0.69,F,NOUN
hechicero,"enchanting, magician, sorcerer",0.82,M,NOUN
hechicería,"witchcraft, sorcery",0.84,F,NOUN
hechizado,"bewitched, to cast spell on",0.74,,ADJ
hechizar,"to cast spell on, spell, bewitch",0.54,,VERB
hechizarle,cast a spell on him,0.35,,VERB
hechizas,spells,0.35,,PROPN
hechizo,"makeshift, spell",0.9,M,NOUN
hecho,"done, made, fact",1.0,,ADJ
hechura,"very well-made dress, design, workmanship",0.41,F,NOUN
hector,"hector, perpetrator",0.41,M,NOUN
hectárea,hectare,0.35,F,NOUN
hediondo,"smelly, stinking, foul-smelling",0.56,,ADJ
hedonismo,hedonism,0.74,M,NOUN
hedonista,"hedonist, hedonistic",0.35,F,NOUN
hedor,stench,0.85,M,NOUN
hedwig,hedwig,0.95,M,NOUN
hedía,"smelled, stank",0.35,F,NOUN
hegel,hegel,0.92,,PROPN
hegelianismo,"hegelianism, hegelian",0.53,M,NOUN
hegeliano,"Hegelian, hegelian",0.35,,ADJ
hegemonic,hegemonic,0.35,M,NOUN
hegemony,hegemony,0.41,,ADJ
hegemonía,hegemony,0.75,F,NOUN
hegemónico,hegemonic,0.41,,ADJ
hegemónicos,hegemonic,0.35,,PROPN
heidbreder,heidbreder,0.53,,ADJ
heiddeger,"heideger, heiddeger",0.35,,VERB
heidegger,"martin heidegger, heidegger",0.88,,PROPN
heidelb,heidelb,0.35,,ADJ
heidelberg,heidelberg,0.53,M,NOUN
heider,"heider, to split",0.76,,VERB
heidi,"injured, heidi",0.66,,PROPN
heike,"propeller, heike",0.56,,SPACE
heiler,heiler,0.35,,PROPN
heilige,"propeller, heilige",0.54,,VERB
heimat,"primate, heimat",0.72,,PROPN
heineken,heineken,0.41,F,NOUN
heiner,"heiner, to split",0.41,M,NOUN
heinz,heinz,0.35,F,NOUN
heisaku,heisaku,0.35,M,NOUN
heisenberg,heisenberg,0.35,,PROPN
helado,"ice cream, freezing",0.93,M,NOUN
helante,"frosty, freezing",0.35,F,NOUN
helar,"freeze, frost",0.35,,VERB
held,held,0.35,M,NOUN
helder,"helder, holder",0.35,,VERB
helechal,"helechal, fern, (helechal)",0.89,M,NOUN
helecho,fern,0.41,M,NOUN
helen,helen,0.77,,PRON
helenismo,"hellenism, Hellenism",0.69,M,NOUN
helenista,"Hellenist, hellenist",0.53,F,NOUN
helenización,"Hellenization, hellenization",0.35,F,NOUN
helenizado,"helenized, hellenized",0.35,,ADJ
helicoptero,helicopter,0.35,M,NOUN
helicóptero,helicopter,0.91,M,NOUN
helio,helium,0.35,M,NOUN
heliolátrico,heliolatric,0.35,,ADJ
hell,"hall, hell",0.8,,PROPN
helllp,"hellp, helllp",0.35,F,NOUN
hello,"hello, helium",0.73,,PROPN
helloooo,"hellooo, helloooo",0.35,,PROPN
hellín,hellin,0.35,,PROPN
helmholtz,helmholtz,0.41,M,NOUN
helmuth,helmuth,0.41,,ADJ
helsinki,helsinki,0.54,,ADJ
helvidio,"helvidius, helvidio",0.35,M,NOUN
helénico,"hellenic, Hellenic",0.41,,ADJ
hembra,female,0.84,F,NOUN
hemeroteca,"newspaper library, newspaper and periodicals library, archive",0.8,F,NOUN
hemiciclo,"chamber, hemicycle",0.75,M,NOUN
hemicioclo,"hemicioclo, hemicycle",0.35,F,NOUN
hemisferio,hemisphere,0.8,M,NOUN
hemorragia,hemorrhage,0.66,F,NOUN
hemorroísa,"hemorrhoid, hemorrhoea",0.35,,VERB
hemos,we have,1.0,,AUX
hemosa,"hemosa, we have",0.35,,SPACE
hemosinstalado,we have installed,0.35,,ADJ
hempel,hempel,0.35,M,NOUN
hen,"hemogram, hen",0.82,,PRON
hence,"from, hence",0.35,,PROPN
henckel,henckel,0.35,F,NOUN
hendedura,"crevice, slit",0.35,F,NOUN
henderson,"henderson, to split",0.61,,PROPN
hendido,"to split, cleft",0.66,,ADJ
hendidura,"crack, cleft, indentation",0.8,F,NOUN
hendir,cleave,0.35,,VERB
hendrickson,hendrickson,0.35,F,NOUN
hendrik,hendrik,0.35,,SPACE
hendriks,hendriks,0.35,,PROPN
hendrikse,hendrikse,0.35,,VERB
henking,henking,0.35,M,NOUN
henkov,"hay, henkov",0.41,,SPACE
heno,hay,0.56,M,NOUN
henoteísmo,"monotheism, henotheism",0.53,M,NOUN
henri,"henri, to knead",0.8,F,NOUN
henry,henry,0.89,,PROPN
henríquez,"cricket, henriquez",0.53,F,NOUN
hepatología,hepatology,0.35,F,NOUN
hepático,hepatic,0.35,,ADJ
her,"hemogram, her",0.74,,PROPN
heraclito,"heraclito, heraclitus",0.61,,ADJ
herald,herald,0.82,,PROPN
heraldo,herald,0.69,M,NOUN
herbario,"herbarium, herbal",0.41,,ADJ
herbert,"blacksmith, herbert",0.81,,PROPN
herbolario,herbalist,0.35,,ADJ
herbología,"herbology, botanicals, ambiguity",0.87,F,NOUN
herborista,herbalist,0.54,F,NOUN
herboristeria,"herbalism, herbalist",0.35,F,NOUN
herboso,"grassy, herbaceous",0.35,,ADJ
herculano,"herculano, herculaneum",0.35,,ADJ
heredabilidad,heritability,0.35,F,NOUN
heredad,"estate, inheritance",0.41,F,NOUN
heredar,"to inherit, inherit",0.66,F,NOUN
herede,"to inherit, inherit",0.41,F,NOUN
heredera,"heiress, heir apparent",0.74,F,NOUN
heredero,heir,0.95,M,NOUN
hereditaria,"hereditary disease, hereditary",0.66,F,NOUN
hereditario,hereditary,0.75,,ADJ
herejía,heresy,0.89,F,NOUN
herem,"incredible, herem",0.54,F,NOUN
herencia,inheritance,0.93,F,NOUN
herezado,"inherited, herezado",0.34,,ADJ
herfried,herfried,0.34,,PROPN
heriberto,heriberto,0.34,M,NOUN
herido,"wounded, injured",0.94,,ADJ
herir,"hurting, hurt, to wound",0.85,,VERB
herirles,hurt them,0.34,,VERB
herirlo,hurt him,0.34,,VERB
herirlos,hurt them,0.34,,VERB
herirnos,hurt us,0.34,,VERB
herirse,get hurt,0.34,,VERB
hermafrodita,hermaphrodite,0.81,F,NOUN
herman,"sister, brother",0.41,M,NOUN
hermana,"sister, sister city",0.97,F,NOUN
hermanado,twinned,0.34,,ADJ
hermanamiento,twinning,0.41,M,NOUN
hermanarse,"twine, to be twinned, twinning",0.53,,VERB
hermanastra,"stepsister, half brother",0.41,F,NOUN
hermanastro,"step brother, half brother, stepbrother",0.69,M,NOUN
hermandad,"sisterhood, brotherhood",0.87,F,NOUN
hermanil,"brotherly, sibling",0.34,,PROPN
hermanita,"sister, sis",0.84,F,NOUN
hermanito,little brother,0.53,M,NOUN
hermano,"sister, brother",0.98,M,NOUN
hermanomayor,"older brother, bigbrother",0.53,M,NOUN
hermanso,"brother, sibling",0.34,,ADJ
hermanu,"hermanu, brother",0.34,,ADJ
hermenéutico,"hermeneutical, hermeneutics, hermeneutic",0.54,,ADJ
hermetictum,hermetictum,0.34,M,NOUN
hermeticum,"hermeticum, airtight",0.61,,PROPN
hermetismo,"secrecy, inscrutability",0.41,M,NOUN
hermione,"hermione, - hermione, spermatozoon",1.0,F,NOUN
hermita,hermitage,0.34,,CCONJ
hermosamente,beautifully,0.34,,ADV
hermosillo,"worn, hermosillo",0.66,,ADJ
hermoso,"handsome, beautiful",0.95,,ADJ
hermosura,"loveliness, beauty",0.8,F,NOUN
hermosísima,"most beautiful, very beautiful",0.41,F,NOUN
herméticamente,"hermetically, hermetically sealed",0.53,,ADV
hermético,airtight,0.75,,ADJ
hernandez,"“hernandez's stores”, hernandez",0.66,,PROPN
hernangómez,hernangomez,0.34,,PROPN
herndezfive,herndezfive,0.34,F,NOUN
hernia,hernia,0.34,F,NOUN
herniado,herniated,0.34,,ADJ
hernu,hernu,0.34,,PROPN
hernán,"hernan, hernia",0.74,M,NOUN
hernández,"“hernandez's stores”, hernandez, hernández",0.91,F,NOUN
herodoto,herodotus,0.34,M,NOUN
heroe,hero,0.53,M,NOUN
heroic,heroic,0.34,,INTJ
heroicidad,heroism,0.53,F,NOUN
heroico,heroic,0.75,M,NOUN
heroina,heroin,0.34,F,NOUN
heroism,heroism,0.34,,ADJ
heroína,"heroine, heroin",0.81,F,NOUN
heroísmo,heroism,0.8,M,NOUN
herrad,"herrad, horseshoe",0.34,,ADJ
herradura,horseshoe,0.34,F,NOUN
herramienta,tool,0.97,F,NOUN
herranz,herranz,0.34,,PROPN
herrera,"blacksmith, herrera, sand steenbras",0.87,,PROPN
herrero,blacksmith,0.8,,PROPN
herrería,"blacksmith shop, smithy",0.34,F,NOUN
herrmann,"sister, herrmann, hermann",0.71,M,NOUN
herrschaft,herrschaft,0.34,,PROPN
herrumbre,rust,0.54,F,NOUN
herubrand,herubrand,0.34,,PROPN
hervidero,"hotbed, swarm, hotbed of passion",0.61,,ADJ
hervido,boiled,0.53,,ADJ
hervidor,kettle,0.68,M,NOUN
hervir,"boil, to boil",0.72,,VERB
hervor,boil,0.34,,PROPN
hervás,hervás,0.34,M,NOUN
herzegovina,herzegovina,0.34,F,NOUN
heráclito,"» - heraclitus, heraclitus",0.86,M,NOUN
herético,heretical,0.79,,ADJ
heródoto,"Herodotus, herodotus",0.67,,PROPN
herón,heron,0.34,M,NOUN
hes,"hes, he's",0.34,,PROPN
hesney,hesney,0.53,F,NOUN
hesperia,"hesperia, hysteria",0.61,F,NOUN
hessel,"hessel, hessell",0.34,,VERB
heston,"heston, estonian",0.66,,PROPN
het,het,0.34,,PROPN
hete,"here, hete",0.68,M,NOUN
hetereogeneo,"hetereogeneous, heterogeneous",0.34,,ADJ
heterodoxo,heterodox,0.64,,ADJ
heterogeneidad,heterogeneity,0.61,F,NOUN
heterogeneo,heterogeneous,0.34,,ADJ
heterogéneo,heterogeneous,0.69,,ADJ
heteronormativo,heteronormative,0.41,,ADJ
heterosexualidad,heterosexuality,0.34,F,NOUN
heterónimo,heteronym,0.75,,NUM
heterónomo,heteronomous,0.34,,PROPN
heteísmo,heteism,0.34,M,NOUN
hevajra,"prostitute, hevajra",0.41,,PROPN
hewitt,hewitt,0.41,,DET
hexadecimal,hexadecimal,0.53,M,NOUN
heyelonmusk,heyelonmusk,0.34,,PROPN
hf,hf,0.66,,SPACE
hg,hg,0.56,,PROPN
hgo,hgo,0.34,M,NOUN
hh,"h h, hh, wc",0.53,,AUX
hhay,hhay,0.34,,VERB
hi,"hi, hi-fi",0.63,,PROPN
hialeah,"to shovel, hialeah",0.77,,ADJ
hibar,hibar,0.34,,VERB
hiberdrola,hiberdrola,0.34,,VERB
hibernación,hibernation,0.34,F,NOUN
hibernar,hibernate,0.34,,VERB
hibernate,hibernate,0.34,M,NOUN
hibisco,hibiscus,0.34,M,NOUN
hibrida,hybrid,0.4,,ADV
hibridación,hybridization,0.34,F,NOUN
hibrido,hybrid,0.53,M,NOUN
hiciérais,"you would do, hiciérais",0.34,,PROPN
hidalgo,"gentleman, noble, hidalgo",0.85,M,NOUN
hide,hide,0.34,F,NOUN
hideputa,"whore, hidewhore",0.34,F,NOUN
hideyoshi,hideyoshi,0.34,F,NOUN
hidra,hydra,0.34,F,NOUN
hidratación,hydration,0.34,F,NOUN
hidroalcohólico,"hydroalcoholic gel, hydroalcoholic",0.4,,ADJ
hidrocarburo,hydrocarbon,0.4,M,NOUN
hidrocarburso,hydrocarbon,0.34,M,NOUN
hidroelectricidad,hydroelectricity,0.34,F,NOUN
hidroeléctrico,hydroelectric,0.4,M,NOUN
hidrolavadora,"pressure washer, dishwasher",0.68,F,NOUN
hidromasaje,whirlpool,0.34,M,NOUN
hidromiel,mead,0.75,F,NOUN
